scenario,chokepoint,start_day,duration_days,severity,recovery_days,event_type
hormuz_30d_severe,Strait of Hormuz,0,30,0.80,45,direct_disruption
red_sea_60d_diversion,Bab el-Mandeb,0,60,0.70,20,direct_disruption
red_sea_60d_diversion,Suez Canal/SUMED,0,60,0.60,20,direct_disruption
compound_hormuz_red_sea,Strait of Hormuz,0,30,0.75,45,direct_disruption
compound_hormuz_red_sea,Bab el-Mandeb,0,60,0.70,30,direct_disruption
compound_hormuz_red_sea,Suez Canal/SUMED,0,60,0.60,30,direct_disruption
multi_node_stress,Strait of Hormuz,0,35,0.80,50,direct_disruption
multi_node_stress,Bab el-Mandeb,0,75,0.75,30,direct_disruption
multi_node_stress,Suez Canal/SUMED,0,75,0.65,30,direct_disruption
multi_node_stress,Strait of Malacca,12,20,0.35,20,direct_disruption
multi_node_stress,Panama Canal,25,45,0.30,20,direct_disruption
sensor_fused_hormuz,Strait of Hormuz,0,60,0.70,45,sensor_updated_disruption
compound_hormuz_red_sea_ecological,Strait of Hormuz,0,30,0.75,45,direct_disruption
compound_hormuz_red_sea_ecological,Bab el-Mandeb,0,60,0.70,30,direct_disruption
compound_hormuz_red_sea_ecological,Suez Canal/SUMED,0,60,0.60,30,direct_disruption
