scorecard_id,validation_dimension,model_expectation,observed_evidence,evidence_class,assessment,score,weight,weighted_score,notes
EA01,hormuz_direction,"Hormuz disruption remains materially impaired","Post-freeze vessel counts remained well below recent and pre-conflict operating levels; S&P reported >80% reduction",B,SUPPORT,1.0,1.0,1.0,"Strong directional agreement; AIS suppression limits exact magnitude testing"
EA02,hormuz_severity,"Severe or restricted-transit conditions persist","Aug 25 visible transits were 5 versus 10-day average of 15; Aug 26 visible transits were 10 versus 15",B,SUPPORT,1.0,1.0,1.0,"Observed shortfalls of ~66.7% and ~33.3%; threshold evidence separately indicates >80% reduction versus pre-conflict"
EA03,hormuz_persistence,"Disruption persists beyond a short-lived event window","Severe impairment remained observable Aug 25-28, after Aug 19 freeze",B,SUPPORT,1.0,1.0,1.0,"Supports persistence mechanism but does not yet validate full 240-day modeled horizon"
EA04,alternative_corridor_function,"Alternative regional routes retain comparatively greater functionality","Bab el-Mandeb recorded 31 visible commodity vessels Aug 25 and 19 Aug 26 while Hormuz remained constrained",B,SUPPORT,1.0,0.75,0.75,"Supports corridor substitution/resilience concept; does not prove causal rerouting"
EA05,compound_chokepoint_structure,"Stress at Hormuz increases strategic importance of other maritime corridors","Bab el-Mandeb remained operational while Hormuz traffic was restricted",B,PARTIAL,0.5,0.75,0.375,"Consistent with framework, but no post-freeze evidence yet demonstrates nonlinear compound disruption"
EA06,freight_transmission,"Restricted transit produces elevated freight/logistics costs","Middle East Gulf-Japan LR2 rate reached $107.72/mt and was reported as an all-time high",B,SUPPORT,1.0,1.0,1.0,"Strong directional validation of freight-stress channel"
EA07,regional_sour_basis,"Regional sour crude experiences distinct localized pricing stress","Cash Dubai and Oman premiums to Dubai futures reached $10.78/b on Aug 27",A,SUPPORT,1.0,1.0,1.0,"Direct post-freeze market assessment supports regional basis mechanism"
EA08,refined_product_transmission,"Downstream refined-product impacts remain elevated after initial disruption","Mediterranean ULSD assessed at $1,295.75/mt versus reported prewar benchmark of $762.75/mt",B,SUPPORT,1.0,1.0,1.0,"~69.9% increase supports lagged/downstream transmission"
EA09,brent_direction,"Crude prices remain elevated relative to normal conditions under sustained disruption","Brent settled at $87.84 Aug 26 and $89.70 Aug 27",B,SUPPORT,1.0,0.75,0.75,"Directional support only; observations are not directly comparable to modeled peak Brent proxy"
EA10,brent_peak_magnitude,"Modeled peak Brent proxy near $127.18/b","Available post-freeze daily settlements are materially below modeled peak proxy",B,NOT_COMPARABLE,,0.0,0.0,"Daily settlements cannot be used as point-error tests against a modeled scenario peak"
EA11,regional_sour_peak_magnitude,"Modeled regional sour proxy peak near $154.27/b","Available Dubai flat-price and basis observations use different constructions",B,NOT_COMPARABLE,,0.0,0.0,"Do not calculate MAE against the frozen regional peak proxy"
EA12,lagged_exposure_dominance,"Lagged transmission constitutes a major share of total strategic exposure","Freight, sour-basis, and refined-product stress remained observable post-freeze",B,PARTIAL,0.5,1.0,0.5,"Mechanism supported, but $726.64B lagged exposure is not directly observable"
EA13,multi_channel_value,"Multi-commodity analysis reveals consequences beyond crude price alone","Post-freeze evidence spans transit, freight, sour crude basis, ULSD, and crude prices",A/B,SUPPORT,1.0,1.0,1.0,"Strong structural support for multi-channel framework"
