"domain_id","validation_domain","current_status","prospective_evidence","primary_evidence_class","coverage_score","key_limitation","next_evidence_priority"
"D01","Hormuz physical throughput","STRONG","Daily post-freeze vessel counts; severe reduction thresholds; persistence across multiple dates","B","1.0","AIS suppression and vessel-classification differences limit exact magnitude testing","Continue daily/weekly throughput observations for persistence"
"D02","Bab el-Mandeb / Red Sea throughput","STRONG","Post-freeze daily vessel counts show comparatively greater corridor functionality","B","1.0","Does not establish that observed traffic was causally rerouted from Hormuz","Find route-specific or origin-destination rerouting evidence"
"D03","Crude price response","PARTIAL","Post-freeze Brent settlements at $87.84 and $89.70/bbl support elevated-price direction","B","0.5","Daily settlement values are not directly comparable to frozen modeled peak-price statistic","Build post-freeze Brent time series and identify observed post-freeze maximum"
"D04","Regional sour-crude basis response","STRONG","Dubai and Oman cash premiums to Dubai futures reached $10.78/bbl post-freeze","A","1.0","Observed basis statistic differs from frozen regional sour-price peak construction","Extend basis series and seek directly comparable sour-complex differential"
"D05","LNG disruption","PARTIAL","Five additional QatarEnergy LNG cargo cancellations were notified Aug. 27 after the model freeze","B","0.5","Clean evidence establishes continued disruption but not a directly comparable post-freeze LNG flow rate","Obtain post-freeze Qatar LNG export-flow or LNG tanker-transit observations"
"D06","Refined-product disruption","STRONG","Mediterranean ULSD reached $1,295.75/mt versus $762.75/mt prewar comparator; freight stress also observed","B","1.0","Single benchmark does not fully represent global refined-product transmission","Add gasoil/crack-spread and regional refined-product observations"
"D07","Alternative pipeline utilization","STRONG","Reuters reported the Habshan-Fujairah bypass pipeline transporting up to 1.8 million bpd on Aug. 24","B","1.0","Saudi East-West pipeline still lacks a clean post-freeze numeric flow observation","Add independently observed Saudi East-West/Yanbu flow if available"
"D08","Inventory drawdowns","PARTIAL","EIA week-ending Aug. 21 shows SPR and total crude inventories declining, but measurement window crosses freeze date","A","0.5","Weekly interval begins before Aug. 19 and therefore cannot enter the clean prospective score","Use week ending Aug. 28 or later as first fully post-freeze inventory observation"
"D09","Production shut-ins","GAP","No clean post-freeze Middle East production shut-in observation currently entered","","0.0","Current 5.5 mbpd shut-in estimate predates validation freeze","Find post-Aug 19 OPEC/Gulf production loss or restoration estimates"
"D10","Freight and war-risk cost","STRONG","Middle East Gulf-Japan LR2 freight reached $107.72/mt and was reported at an all-time high","B","1.0","War-risk insurance premium itself has not yet been separately quantified","Add insurance premium and additional tanker-rate observations"
"D11","Immediate versus lagged transmission","PARTIAL","Freight, sour-basis, and refined-product stress persisted after freeze and support delayed transmission mechanisms","B","0.5","Modeled $726.64B lagged exposure cannot be directly observed or point-validated","Build time-sequenced evidence showing persistence and delayed downstream effects"
